timestamp,action,ticker,form_type,period_token,fiscal_year,source_path,target_path,sha256,notes
2026-04-10T02:35:21+00:00,copied,MSFT,10-K,AR,2025,data/_sources/MSFT/_raw/msft-20250630.htm,data/_sources/MSFT/2025/[30.07.2025][MSFT][AR][10-K].htm,99d693f6c1544144ebeee92954f151a85bc62111837530a42855953bc01d0bbe,
2026-04-10T02:35:37+00:00,skipped_already_canonical,MSFT,10-K,AR,2025,data/_sources/MSFT/_raw/msft-20250630.htm,data/_sources/MSFT/2025/[30.07.2025][MSFT][AR][10-K].htm,99d693f6c1544144ebeee92954f151a85bc62111837530a42855953bc01d0bbe,
2026-04-10T10:33:15+00:00,copied,AMZN,10-K,AR,2025,data/_sources/AMZN/_raw/amzn-20251231.htm,data/_sources/AMZN/2025/[06.02.2026][AMZN][AR][10-K].htm,beb1bfc28558135e76882db0cf36ba72a1ab44e2144fe37534f4da1e120ddb57,
2026-04-10T10:33:16+00:00,copied,APLD,10-K,AR,2025,data/_sources/APLD/_raw/apld-20250531.htm,data/_sources/APLD/2025/[30.07.2025][APLD][AR][10-K].htm,70bdc8e48e8a7d296e29c84e656f575e1f294f2977cd1a27ab1767ea1caa495e,
2026-04-10T10:33:18+00:00,copied,BABA,20-F,AR,2025,data/_sources/BABA/_raw/baba-20250331.htm,data/_sources/BABA/2025/[26.06.2025][BABA][AR][20-F].htm,7959467eb4e32c27af13f2804aa4d0a7d0d6f49118f2a440b11d12e55eed4c46,
2026-04-10T10:33:19+00:00,copied,BIDU,20-F,AR,2025,data/_sources/BIDU/_raw/d38065d20f.htm,data/_sources/BIDU/2025/[17.03.2026][BIDU][AR][20-F].htm,16a242f31d42b99f202abf7b51317fbc0223732f9136f6f9ec4fe813f2e17ff5,
2026-04-10T10:33:20+00:00,copied,CRWV,10-K,AR,2025,data/_sources/CRWV/_raw/crwv-20251231.htm,data/_sources/CRWV/2025/[02.03.2026][CRWV][AR][10-K].htm,c796cf3da3deaf213561a54b731af74526ff72fc854fde005591b0b1880ed1fc,
2026-04-10T10:33:22+00:00,copied,GDS,20-F,AR,2024,data/_sources/GDS/_raw/gds-20241231x20f.htm,data/_sources/GDS/2024/[28.04.2025][GDS][AR][20-F].htm,c4f419260120887c9b701420a79902557cd9421225785a0e8d4215ae659d2b7c,
2026-04-10T10:33:23+00:00,copied,GOOGL,10-K,AR,2025,data/_sources/GOOGL/_raw/goog-20251231.htm,data/_sources/GOOGL/2025/[05.02.2026][GOOGL][AR][10-K].htm,c2f6301004f35411a20611c14ff01d80a85c0bcbab6053c80d8cc7f6fc747161,
2026-04-10T10:33:24+00:00,copied,IREN,20-F,AR,2024,data/_sources/IREN/_raw/iren-20240630.htm,data/_sources/IREN/2024/[28.08.2024][IREN][AR][20-F].htm,f3333fa476c97bc8c1b6a5e069a3a3a9708e49e13e22dd65be400315409a45ab,
2026-04-10T10:33:25+00:00,copied,META,10-K,AR,2025,data/_sources/META/_raw/meta-20251231.htm,data/_sources/META/2025/[29.01.2026][META][AR][10-K].htm,97d1a65e8f28c8d2878a1f73218b89f8da3be83e6517c5cffdd81845c8ce40be,
2026-04-10T10:33:26+00:00,skipped_already_canonical,MSFT,10-K,AR,2025,data/_sources/MSFT/_raw/msft-20250630.htm,data/_sources/MSFT/2025/[30.07.2025][MSFT][AR][10-K].htm,99d693f6c1544144ebeee92954f151a85bc62111837530a42855953bc01d0bbe,
2026-04-10T10:33:27+00:00,copied,NBIS,20-F,AR,2024,data/_sources/NBIS/_raw/nbis-20241231x20f.htm,data/_sources/NBIS/2024/[30.04.2025][NBIS][AR][20-F].htm,7edf65f79601be53a61de4bdbdbe954d5671c0c686d6d5bcbca8a091cf17277a,
2026-04-10T10:33:28+00:00,copied,ORCL,10-K,AR,2025,data/_sources/ORCL/_raw/orcl-20250531.htm,data/_sources/ORCL/2025/[18.06.2025][ORCL][AR][10-K].htm,76d67d94d2168379120f9232387f7cb58fe65159e5c4743c470d7fbeee874835,
2026-04-10T11:57:05+00:00,copied,0700,HK-AR,AR,2025,data/_sources/0700/_raw/2026040901232_c.pdf,data/_sources/0700/2025/[09.04.2026][0700][AR][HK-AR].pdf,d19f183452e9b8d0c47bcb7543dcbf435b585b2610759b42c0cba7c13f7361c7,
